Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Jalen Guyton,LAC,WR,226.7,232.4,7.0,77.9,77.4
Kadarius Toney,NYG,WR,227.9,223.3,10.0,0.0,76.6
Marquez Callaway,NO,WR,229.0,231.2,6.0,24.0,73.4
Denzel Mims,NYJ,WR,230.1,230.1,6.0,42.5,72.9
James Washington,PIT,WR,231.2,239.1,7.0,78.1,72.2
Tim Patrick,DEN,WR,232.4,229.0,11.0,124.3,72.1
Keke Coutee,HOU,WR,233.5,227.9,10.0,60.9,71.7
Hunter Renfrow,LV,WR,234.6,224.5,8.0,85.3,71.0
Quintez Cephus,DET,WR,235.8,235.8,9.0,52.9,69.7
Tyron Johnson,LAC,WR,236.9,247.0,7.0,67.1,68.8
Olamide Zaccheaus,ATL,WR,238.0,233.5,6.0,37.7,68.6
Zach Pascal,IND,WR,239.1,240.3,14.0,104.8,68.4
Josh Reynolds,TEN,WR,240.3,238.0,13.0,81.6,66.9
Byron Pringle,KC,WR,241.4,234.6,12.0,24.8,66.7
K.J. Hamler,DEN,WR,242.5,241.4,11.0,67.8,65.4
Nico Collins,HOU,WR,243.6,244.8,10.0,0.0,64.2
Kendrick Bourne,NE,WR,244.8,243.6,14.0,91.0,63.3
Donovan Peoples-Jones,CLE,WR,245.9,251.5,13.0,50.1,62.7
Bryan Edwards,LV,WR,248.2,250.4,8.0,28.5,61.7
Preston Williams,MIA,WR,249.3,256.1,14.0,64.1,61.3
Demarcus Robinson,KC,WR,252.7,245.9,12.0,70.6,60.6
Chris Conley,HOU,WR,253.8,249.3,10.0,64.4,60.0
Tutu Atwell,LAR,WR,256.1,248.2,11.0,0.0,59.1
Travis Fulgham,PHI,WR,257.2,253.8,14.0,87.9,58.9
Cam Sims,WAS,WR,259.4,252.7,9.0,61.1,58.0
Anthony Miller,CHI,WR,260.6,242.5,10.0,67.3,56.6
Deonte Harris,NO,WR,261.7,254.9,6.0,31.2,55.1
Willie Snead IV,LV,WR,262.8,257.2,8.0,69.0,55.0
Shi Smith,CAR,WR,265.1,258.3,13.0,0.0,54.6
Auden Tate,CIN,WR,266.2,259.4,10.0,16.9,53.7
Kelvin Benjamin,NYG,WR,268.5,266.2,10.0,49.6,53.0
Dyami Brown,WAS,WR,270.7,262.8,9.0,0.0,52.7
Greg Ward,PHI,WR,275.2,264.0,14.0,90.4,48.9
Scotty Miller,TB,WR,276.4,273.0,9.0,78.4,48.4
Damiere Byrd,CHI,WR,277.5,269.6,10.0,76.6,48.3
Collin Johnson,JAX,WR,278.6,280.9,7.0,46.5,47.9
N'Keal Harry,NE,WR,279.7,268.5,14.0,46.1,47.8
Isaiah McKenzie,BUF,WR,280.9,275.2,7.0,71.7,47.6
Adam Humphries,WAS,WR,283.1,267.3,9.0,39.3,46.3
Anthony Schwartz,CLE,WR,285.4,287.6,13.0,0.0,44.3
John Ross,NYG,WR,287.6,277.5,10.0,2.2,44.0
