Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Rex Burkhead,HOU,RB,307.9,312.5,10.0,93.2,39.4
Jaret Patterson,WAS,RB,309.1,342.9,9.0,0.0,39.1
DeeJay Dallas,SEA,RB,310.2,301.2,9.0,45.0,38.6
Larry Rountree III,LAC,RB,311.3,319.2,7.0,0.0,38.2
Trayveon Williams,CIN,RB,312.5,313.6,10.0,18.8,38.2
Jalen Richard,LV,RB,319.2,309.1,8.0,36.2,35.9
Brian Hill,TEN,RB,322.6,327.1,13.0,79.4,35.0
Benny Snell Jr.,PIT,RB,324.9,344.0,7.0,73.2,33.3
Matt Breida,BUF,RB,326.0,326.0,7.0,37.2,32.5
Kalen Ballage,PIT,RB,327.1,338.4,7.0,73.2,32.1
Peyton Barber,WAS,RB,328.2,354.2,9.0,57.5,30.9
Royce Freeman,DEN,RB,338.4,331.6,11.0,28.3,28.2
Justice Hill,BAL,RB,339.5,350.8,8.0,10.2,27.8
Kerryon Johnson,PHI,RB,340.7,348.6,14.0,59.6,27.0
Demetric Felton,CLE,RB,344.0,347.4,13.0,0.0,24.8
Kylin Hill,GB,RB,349.7,385.8,13.0,0.0,23.8
Brandon Bolden,NE,RB,350.8,395.9,14.0,0.0,23.8
Raymond Calais,LAR,RB,354.2,376.8,11.0,0.0,23.4
Jordan Wilkins,IND,RB,359.8,382.4,14.0,55.6,22.2
Patrick Taylor,GB,RB,366.6,394.8,13.0,0.0,21.4
Ameer Abdullah,MIN,RB,367.7,368.9,7.0,24.8,21.2
Jeremy McNichols,TEN,RB,368.9,393.7,13.0,36.0,21.1
Kene Nwangwu,MIN,RB,370.0,401.6,7.0,0.0,20.7
Khalil Herbert,CHI,RB,379.0,412.8,10.0,0.0,19.5
Ke'Shawn Vaughn,TB,RB,382.4,408.3,9.0,20.6,18.4
JaMycal Hasty,SF,RB,384.6,433.2,6.0,27.2,18.1
Alex Collins,SEA,RB,388.0,436.5,9.0,22.7,17.9
Gary Brightwell,NYG,RB,390.3,424.1,10.0,0.0,17.8
Tony Brooks-James,ATL,RB,395.9,453.5,6.0,0.5,17.1
Jordan Howard,PHI,RB,407.2,477.1,14.0,33.5,15.8
Chris Evans,CIN,RB,411.7,421.9,10.0,0.0,15.6
Travis Homer,SEA,RB,417.4,416.2,9.0,26.8,15.3
Dexter Williams,GB,RB,419.6,434.3,13.0,1.0,15.2
D'Ernest Johnson,CLE,RB,421.9,451.2,13.0,20.3,14.9
Josh Adams,NYJ,RB,426.4,481.7,6.0,34.5,14.7
Corey Clement,NYG,RB,429.8,461.4,10.0,18.0,14.3
Dontrell Hilliard,HOU,RB,430.9,448.9,10.0,6.4,14.2
Ty Montgomery,NO,RB,433.2,439.9,6.0,14.4,14.0
C.J. Ham,MIN,RB,434.3,429.8,7.0,19.7,13.5
Jaylen Samuels,PIT,RB,441.0,441.0,7.0,9.4,12.9
Eno Benjamin,ARI,RB,442.2,470.4,12.0,0.0,12.9
Alec Ingold,LV,RB,447.8,423.0,8.0,19.6,12.6
Darwin Thompson,KC,RB,448.9,462.5,12.0,29.6,12.5
