Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Trevor Siemian,NO,QB,1018.6,1015.2,6.0,0.0,0.0
Nate Sudfeld,SF,QB,1128.0,1124.6,6.0,-1.7000000000000002,0.0
DeShone Kizer,TEN,QB,1177.6,1174.2,13.0,0.0,0.0
Davis Webb,BUF,QB,1183.3,1179.9,7.0,0.0,0.0
Nathan Peterman,LV,QB,1248.7,1245.3,8.0,2.4,0.0
Kyle Lauletta,CLE,QB,1371.6,1368.3,13.0,-2.5,0.0
Mike White,NYJ,QB,1411.1,1407.7,6.0,0.0,0.0
Danny Etling,SEA,QB,1438.2,1434.8,9.0,0.0,0.0
Alex McGough,SEA,QB,1439.3,1435.9,9.0,0.0,0.0
Ryan Finley,,QB,1549.9,1546.5,,21.6,0.0
Clayton Thorson,NYG,QB,1626.6,1623.2,10.0,0.0,0.0
Jake Browning,MIN,QB,1661.5,1658.2,7.0,0.0,0.0
Jake Dolegala,GB,QB,1702.2,1698.8,13.0,0.0,0.0
Devlin Hodges,LAR,QB,1752.9,1749.5,11.0,57.9,0.0
Jordan Ta'amu,,QB,1758.6,1755.2,,0.0,0.0
Steven Montez,WAS,QB,1771.0,1767.6,9.0,0.0,0.0
Nate Stanley,MIN,QB,1772.1,1768.7,7.0,0.0,0.0
Jake Luton,JAX,QB,1773.2,1769.8,7.0,31.9,0.0
Anthony Gordon,KC,QB,1774.3,1771.0,12.0,0.0,0.0
Bryce Perkins,LAR,QB,1775.5,1772.1,11.0,0.0,0.0
Cole McDonald,,QB,1776.6,1773.2,,0.0,0.0
Ben DiNucci,DAL,QB,1941.3,1937.9,7.0,8.9,0.0
Tommy Stevens,,QB,1946.9,1943.5,,3.1,0.0
Will Grier,CAR,QB,2235.7,2232.3,13.0,0.0,0.0
