NAME,POSITION,PROJECTED_POINTS
Kyle Pitts,TE,135.8
T.J. Hockenson,TE,130.4
Dallas Goedert,TE,124.7
Mike Gesicki,TE,113.7
Noah Fant,TE,113.1
Tyler Higbee,TE,112.7
Robert Tonyan,TE,110.5
Rob Gronkowski,TE,109.1
Irv Smith Jr.,TE,105.3
Logan Thomas,TE,104.8
Hunter Henry,TE,102.4
Jared Cook,TE,100.7
Jonnu Smith,TE,94.4
Anthony Firkser,TE,93.5
Austin Hooper,TE,90.4
Blake Jarwin,TE,88.4
Evan Engram,TE,86.7
Adam Trautman,TE,85.7
Eric Ebron,TE,85.5
O.J. Howard,TE,79.3
Cole Kmet,TE,78.2
Zach Ertz,TE,77.2
Gerald Everett,TE,76.2
Hayden Hurst,TE,75
Dawson Knox,TE,69
Chris Herndon,TE,66.4
Jimmy Graham,TE,64.3
Jack Doyle,TE,61.6
Mo Alie-Cox,TE,61.2
Jordan Akins,TE,59.9
Dalton Schultz,TE,59.7
Pittsburgh Steelers,DEF,129.7
Baltimore Ravens,DEF,121.8
Kansas City Chiefs,DEF,119.6
New Orleans Saints,DEF,119.6
San Francisco 49ers,DEF,118.4
New England Patriots,DEF,117.3
Indianapolis Colts,DEF,116.2
Los Angeles Rams,DEF,115.1
Buffalo Bills,DEF,110.5
Philadelphia Eagles,DEF,108.3
Tampa Bay Buccaneers,DEF,107.2
Denver Broncos,DEF,104.9
Seattle Seahawks,DEF,104.9
Chicago Bears,DEF,103.8
Green Bay Packers,DEF,103.8
Minnesota Vikings,DEF,103.8
Los Angeles Chargers,DEF,101.5
Cleveland Browns,DEF,100.4
New York Jets,DEF,100.4
Washington Football Team,DEF,100.4
Jacksonville Jaguars,DEF,99.3
Tennessee Titans,DEF,98.1
Dallas Cowboys,DEF,97
Carolina Panthers,DEF,95.9
Detroit Lions,DEF,94.8
Arizona Cardinals,DEF,93.6
Houston Texans,DEF,93.6
Miami Dolphins,DEF,93.6
Cincinnati Bengals,DEF,92.5
Las Vegas Raiders,DEF,92.5
New York Giants,DEF,91.4
Atlanta Falcons,DEF,89.1
Justin Tucker,K,157.5
Harrison Butker,K,156.5
Tyler Bass,K,155.4
Greg Zuerlein,K,154
Ryan Succop,K,151.2
Jason Sanders,K,150
Younghoe Koo,K,150
Rodrigo Blankenship,K,148.1
Jason Myers,K,146.9
Robbie Gould,K,146.6
Wil Lutz,K,145.4
Daniel Carlson,K,145.2
Matt Gay,K,144.7
Matt Prater,K,142.2
Michael Badgley,K,142.2
Mason Crosby,K,140.4
Graham Gano,K,138.5
Cairo Santos,K,138.3
Chris Boswell,K,137.6
Brandon McManus,K,137.4
Joey Slye,K,136.3
Dustin Hopkins,K,136
Cody Parkey,K,134.8
Greg Joseph,K,134.2
Josh Lambo,K,130.8
Nick Folk,K,129.3
Ka'imi Fairbairn,K,128.4
Evan McPherson,K,124.8
Jake Elliott,K,123.3
Sam Ficken,K,120.6
Randy Bullock,K,116
Tucker McCann,K,110.5
